,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
258,vao,56,nc,1528012330,100,-31.18,164.70,67.26,21.05
259,general roca,88,ar,1528012330,83,-40.73,-67.87,21.9,2.59
260,sao joao da barra,92,br,1528012330,94,-35.42,-22.00,63.84,34.25
261,silopi,0,tr,1528012330,29,36.75,42.22,91.92,3.49
262,weligama,68,lk,1528012330,98,1.26,79.76,84.9,19.48
263,agadez,0,ne,1528012331,12,17.77,8.87,97.86,4.38
264,kruisfontein,92,za,1528012331,100,-36.12,25.15,59.7,18.14
265,peru,75,us,1528011300,82,40.82,-86.04,69.8,5.82
266,zhob,0,pk,1528012331,10,31.13,68.79,98.85,4.16
267,billings,1,us,1528008780,54,45.52,-107.99,59.0,3.49
268,jiddah,0,sa,1528012332,14,22.53,39.40,100.92,5.73
269,wahran,0,dz,1528012332,100,36.09,-1.25,66.54,18.7
270,north platte,1,us,1528010100,81,41.73,-101.66,50.0,3.36
271,pio xii,76,br,1528012332,94,-3.95,-45.28,74.19,5.06
272,acapulco,64,mx,1528012332,100,15.44,-100.07,83.19,13.44
273,petropavlovsk-kamchatskiy,100,ru,1528012333,90,50.00,160.02,41.07,40.4
274,port elizabeth,44,za,1528012333,97,-64.42,31.29,29.46,12.33
275,hambantota,80,lk,1528012333,96,3.00,82.89,85.53,19.04
276,taber,1,ca,1528009200,47,50.19,-112.38,57.2,11.41
277,zhangjiakou,68,cn,1528012333,34,42.24,115.72,61.23,19.26
278,grindavik,88,is,1528012334,100,57.34,-27.96,45.84,10.76
279,wajir,20,ke,1528012334,86,2.32,39.59,78.33,11.43
280,isangel,92,vu,1528012334,100,-22.03,178.49,71.31,12.44
281,altamont,0,us,1528012334,66,41.58,-120.96,52.14,2.26
282,boyolangu,92,id,1528012335,98,-12.23,110.87,82.29,18.81
283,tripoli,44,ly,1528008600,44,32.71,12.91,80.6,4.7
284,dudinka,56,ru,1528012335,96,72.05,85.93,33.69,18.03
285,faya,0,td,1528012335,15,20.19,20.02,97.59,7.63
286,garowe,20,so,1528012335,44,7.46,46.98,87.51,17.47
287,burica,64,pa,1528012336,100,5.10,-82.43,81.3,9.98
288,yarmouth,24,ca,1528012336,100,40.09,-66.10,57.54,24.52
289,cockburn town,20,tc,1528012336,97,22.63,-68.02,80.22,8.52
290,basco,48,ph,1528012336,100,20.34,125.17,86.79,6.62
291,yaita,20,jp,1528009200,53,36.84,139.81,77.0,10.29
292,vallenar,20,cl,1528012337,100,-28.27,-73.22,58.17,25.08
293,boo,0,se,1528010400,31,58.98,18.52,75.2,3.36
294,matara,76,lk,1528012337,100,-5.47,83.98,81.03,17.36
295,verkhnyaya inta,80,ru,1528012337,100,67.62,60.98,28.92,16.69
296,tazovskiy,92,ru,1528012337,94,69.68,76.54,34.5,18.14
297,marsh harbour,44,bs,1528012338,99,27.23,-76.53,79.14,13.33
298,mnogovershinnyy,88,ru,1528012338,95,56.11,141.52,40.53,9.19
299,george town,20,ky,1528012338,97,18.94,-82.04,81.93,4.38
300,cuamba,0,mz,1528012338,60,-14.43,37.37,74.91,4.61
301,viransehir,0,tr,1528012339,35,35.95,39.57,88.5,8.41
302,deputatskiy,0,ru,1528012339,100,73.20,141.49,30.99,4.05
303,aguimes,0,es,1528012339,60,24.38,-14.43,64.83,15.01
304,bathsheba,92,bb,1528012339,100,19.04,-51.45,75.09,12.77
305,iskateley,56,ru,1528012339,100,68.63,55.59,29.82,13.67
306,oranjemund,0,na,1528012340,83,-27.94,16.36,57.09,8.97
307,chokurdakh,64,ru,1528012340,97,89.05,152.86,26.67,13.67
308,ganzhou,56,cn,1528012340,88,26.19,115.60,76.17,3.71
309,guacara,20,ve,1528012340,93,10.17,-67.86,69.06,5.28
310,evanston,0,us,1528012340,59,40.64,-110.89,38.01,1.92
311,san quintin,0,mx,1528012341,100,22.58,-124.82,69.24,16.02
312,qandala,12,so,1528012341,32,10.84,50.03,92.46,11.65
313,kijang,0,id,1528012341,100,-0.09,106.67,84.9,6.96
314,matagami,20,ca,1528012341,61,50.92,-77.25,37.83,13.33
315,karratha,0,au,1528012341,17,-21.31,116.69,83.64,11.88
316,hay river,80,ca,1528012342,80,59.19,-113.84,51.33,3.49
317,lagoa,92,pt,1528012342,96,46.46,-28.26,59.79,14.45
318,kandrian,92,pg,1528012342,100,-6.42,149.80,78.69,12.55
319,roald,92,no,1528012342,99,66.35,3.37,47.1,25.97
320,lincoln,92,nz,1528012342,100,-46.87,175.04,47.1,7.63
321,bosaso,8,so,1528012343,33,10.54,48.38,92.55,10.09
322,quatre cocos,20,mu,1528012343,100,-19.10,63.49,75.9,15.79
323,los lunas,1,us,1528010100,42,34.75,-106.20,75.2,3.36
324,flinders,0,au,1528012343,36,-30.22,134.61,55.2,5.61
325,lorengau,92,pg,1528012343,100,9.90,150.56,81.03,10.42
326,ust-maya,8,ru,1528012344,33,61.00,133.77,61.86,6.73
327,tautira,24,pf,1528012344,100,-17.33,-144.75,79.14,2.93
328,alekseyevsk,8,ru,1528012344,56,58.93,108.45,58.71,5.06
329,altamirano,0,mx,1528012344,95,18.95,-96.40,69.24,1.7
330,port blair,68,in,1528012344,100,14.73,91.87,81.39,15.57
331,kompaniyivka,44,ua,1528012345,45,48.28,32.00,73.38,10.76
332,portland,48,au,1528012345,100,-41.88,141.24,52.86,16.24
333,iqaluit,90,ca,1528009200,92,64.13,-75.54,24.8,6.93
334,nanortalik,88,gl,1528012345,96,60.49,-40.85,43.5,17.81
335,zaysan,20,kz,1528012345,50,47.28,83.78,64.2,9.86
336,sobolevo,44,ru,1528012346,95,53.77,156.06,42.78,16.02
337,barawe,20,so,1528012346,97,-1.90,46.69,80.31,19.93
338,alexandria,40,eg,1528009200,61,31.65,29.89,78.8,6.93
339,half moon bay,0,us,1528012346,100,32.44,-130.52,63.3,17.47
340,aklavik,88,ca,1528009200,93,69.50,-139.70,26.6,8.05
341,quelimane,100,mz,1528012347,100,-20.14,38.84,78.78,14.0
342,beloha,76,mg,1528012347,100,-27.52,44.14,74.64,19.26
343,san jeronimo,44,mx,1528012347,100,12.55,-102.97,84.54,2.48
344,saquarema,64,br,1528012347,100,-27.45,-42.57,69.15,21.39
345,vaitupu,0,wf,1528012347,98,-2.32,-178.00,83.82,13.67
346,bac lieu,88,vn,1528012348,100,6.82,107.34,85.17,11.99
347,san cristobal,92,ec,1528012348,100,-3.92,-87.28,72.39,15.57
348,luderitz,80,na,1528012348,100,-35.03,2.44,62.67,13.33
349,ambon,32,id,1528012348,100,-6.11,129.20,82.2,16.13
350,umzimvubu,92,za,1528012348,100,-40.43,37.39,55.2,14.9
351,namatanai,56,pg,1528012349,100,5.56,158.31,83.46,11.21
352,tagusao,44,ph,1528012349,100,12.81,114.53,81.66,20.71
353,tlazazalca,0,mx,1528012349,74,19.93,-102.08,52.23,1.92
354,ferme-neuve,0,ca,1528012349,46,47.52,-76.13,44.58,6.06
355,ulaangom,8,mn,1528012349,13,46.94,92.07,61.5,6.96
356,pangai,92,to,1528012350,100,-18.70,-177.09,77.25,21.83
357,kavaratti,80,in,1528012350,100,12.40,68.51,82.29,15.12
358,ust-tsilma,44,ru,1528012350,50,65.87,50.16,41.7,4.38
359,dukat,68,ru,1528012350,80,61.39,154.68,32.16,13.67
360,souillac,92,mu,1528012350,100,-40.29,66.98,54.3,16.02
361,ilulissat,48,gl,1528012351,82,78.14,-47.38,5.34,12.44
362,faanui,68,pf,1528012351,100,-9.66,-151.08,81.3,12.88
363,ambulu,0,id,1528012351,100,-13.83,112.92,82.2,18.03
364,kupang,0,id,1528012351,100,-13.49,121.86,82.11,17.58
365,lompoc,8,us,1528012352,100,22.74,-129.14,69.78,16.02
366,road town,90,vg,1528008780,83,17.99,-64.57,80.6,12.75
367,leh,0,in,1528012352,97,35.04,81.83,22.8,3.15
368,gazli,36,uz,1528012352,14,41.53,63.69,74.19,10.65
369,sturgeon bay,90,us,1528011300,100,44.77,-87.17,51.8,4.7
