"Date","Source","Site ID","POC","Daily Max 1-hour SO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE","airnowval","aqsval"
"11/29/2019","AQS","170310076","1","1.7","ppb","1","COM ED MAINTENANCE BLDG","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007",".","1.7"
"11/30/2019","AQS","170310076","1","1.6","ppb","1","COM ED MAINTENANCE BLDG","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007",".","1.6"
"12/01/2019","AQS","170310076","1","1.2","ppb","1","COM ED MAINTENANCE BLDG","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007",".","1.2"
"12/02/2019","AQS","170310076","1","1.5","ppb","1","COM ED MAINTENANCE BLDG","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007",".","1.5"
"12/03/2019","AQS","170310076","1","1.4","ppb","1","COM ED MAINTENANCE BLDG","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007",".","1.4"
"12/04/2019","AQS","170310076","1","4.1","ppb","6","COM ED MAINTENANCE BLDG","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007",".","4.1"
"12/05/2019","AQS","170310076","1","3.5","ppb","4","COM ED MAINTENANCE BLDG","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007",".","3.5"
"12/06/2019","AQS","170310076","1","3.4","ppb","4","COM ED MAINTENANCE BLDG","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007",".","3.4"
"12/07/2019","AQS","170310076","1","2.9","ppb","3","COM ED MAINTENANCE BLDG","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007",".","2.9"
"12/08/2019","AQS","170310076","1","1.8","ppb","1","COM ED MAINTENANCE BLDG","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007",".","1.8"
"12/09/2019","AQS","170310076","1","1.4","ppb","1","COM ED MAINTENANCE BLDG","22","92.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007",".","1.4"
"12/10/2019","AQS","170310076","1","1.1","ppb","1","COM ED MAINTENANCE BLDG","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007",".","1.1"
"12/11/2019","AQS","170310076","1","2.4","ppb","3","COM ED MAINTENANCE BLDG","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007",".","2.4"
"12/12/2019","AQS","170310076","1","1.4","ppb","1","COM ED MAINTENANCE BLDG","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007",".","1.4"
"12/13/2019","AQS","170310076","1","4.3","ppb","6","COM ED MAINTENANCE BLDG","22","92.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007",".","4.3"
"12/14/2019","AQS","170310076","1","5.2","ppb","7","COM ED MAINTENANCE BLDG","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007",".","5.2"
"12/15/2019","AQS","170310076","1","1.1","ppb","1","COM ED MAINTENANCE BLDG","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007",".","1.1"
"12/16/2019","AQS","170310076","1","1.5","ppb","1","COM ED MAINTENANCE BLDG","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007",".","1.5"
"12/17/2019","AQS","170310076","1","1.7","ppb","1","COM ED MAINTENANCE BLDG","23","96.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007",".","1.7"
"12/18/2019","AQS","170310076","1","1.6","ppb","1","COM ED MAINTENANCE BLDG","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007",".","1.6"
"12/19/2019","AQS","170310076","1","1.8","ppb","1","COM ED MAINTENANCE BLDG","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007",".","1.8"
"12/20/2019","AQS","170310076","1","2.3","ppb","3","COM ED MAINTENANCE BLDG","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007",".","2.3"
"12/21/2019","AQS","170310076","1","1.7","ppb","1","COM ED MAINTENANCE BLDG","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007",".","1.7"
"12/22/2019","AQS","170310076","1","2.1","ppb","3","COM ED MAINTENANCE BLDG","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007",".","2.1"
"12/23/2019","AQS","170310076","1","2.3","ppb","3","COM ED MAINTENANCE BLDG","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007",".","2.3"
"12/24/2019","AQS","170310076","1","3.6","ppb","4","COM ED MAINTENANCE BLDG","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007",".","3.6"
"12/25/2019","AQS","170310076","1","1.8","ppb","1","COM ED MAINTENANCE BLDG","24","100.0000","42401","Sulfur dioxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007",".","1.8"
